,id,Lng,Lat,Cid,tradeTime,DOM,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,period,sta_square,sta_price,avg_price,avg_community,trade_year
92270,BJ0000615138,116.111318,39.949921,1.11103E+12,2010/3/23,1,0,115,14240,80.76,#NAME?,,,,中 6,4,2003,混合结构,0.5,0,0,0,0,12,36923,,0.042482457,0.091130183,1.423972263,0.15137407,2010
92299,BJ0000615220,116.111318,39.949921,1.11103E+12,2010/4/13,1,0,205,13021,157.44,#NAME?,,,,顶 6,4,2006,混合结构,0.5,0,0,0,0,12,36923,,0.086586909,0.083328533,1.302083333,0.15137407,2010
92304,BJ0000615229,116.117019,39.93386,1.11105E+12,2010/4/17,1,0,90,14288,62.99,#NAME?,,,,中 6,4,1990,混合结构,0.333,0,0,0,0,12,39381,,0.03226159,0.091437385,1.428798222,0.165643032,2010
92340,BJ0000615401,116.122354,39.937384,1.11103E+12,2010/9/9,1,0,130,17640,73.7,#NAME?,,,,低 6,4,2000,混合结构,0.5,0,0,0,0,12,36358,,0.038421719,0.112890322,1.763907734,0.148094182,2010
92356,BJ0000615469,116.117019,39.93386,1.11105E+12,2010/10/21,1,0,126.8,15849,80.01,#NAME?,,,,低 6,4,1990,混合结构,0.333,0,0,0,0,12,39381,,0.042051076,0.101427849,1.5848019,0.165643032,2010
92409,BJ0000615621,116.12215,39.932268,1.11103E+12,2011/1/8,1,0,125,18429,67.83,#NAME?,,,,中 6,4,1996,混合结构,0.25,0,0,0,0,12,35181,,0.035045439,0.117939955,1.8428424,0.141261567,2011
92520,BJ0000615998,116.122354,39.937384,1.11103E+12,2012/5/17,1,0,126,17218,73.18,#NAME?,,,,中 6,4,2000,混合结构,0.5,0,0,0,0,12,36358,,0.038122627,0.110189505,1.721781908,0.148094182,2012
92610,BJ0000616423,116.111318,39.949921,1.11103E+12,2013/1/20,1,0,195,20147,96.79,#NAME?,,,,中 6,4,2006,混合结构,0.5,0,0,0,0,12,36923,,0.051702519,0.128935225,2.014670937,0.15137407,2013
92660,BJ0000616623,116.111318,39.949921,1.11103E+12,2013/4/27,1,0,201.5,19773,101.91,#NAME?,,,,低 6,4,2003,混合结构,0.5,0,0,0,0,12,36923,,0.054647417,0.12654161,1.977234815,0.15137407,2013
113275,BJCP90705860,116.433401,40.107867,1.11103E+12,2015/10/24,1,0,192,21195,90.59,#NAME?,,,,高 6,4,2003,混合结构,0.5,0,0,0,0,6,41055,,0.048136432,0.135642468,2.119439232,0.175360788,2015
208214,BJDX84450717,116.354548,39.733154,1.11103E+12,2012/4/22,,0,89.9,13069,68.79,#NAME?,,,,中 6,4,1994,混合结构,0.5,0,1,0,0,4,33298,,0.035597607,0.083635735,1.306875999,0.130330543,2012
220567,BJFT56451688,116.238792,39.852889,1.11103E+12,2011/11/16,,0,48.9,6800,71.84,#NAME?,,,,低 6,4,2004,混合结构,0.048,0,0,0,0,2,43567,,0.037351892,0.043513878,0.680679287,0.189943226,2011
220569,BJFT56451692,116.238792,39.852889,1.11103E+12,2011/11/16,,0,25.8,6800,37.89,#NAME?,,,,低 6,4,2004,混合结构,0.048,0,1,0,0,2,43567,,0.017824687,0.043513878,0.680918448,0.189943226,2011
220570,BJFT56451700,116.238792,39.852889,1.11103E+12,2011/11/16,,0,25.8,6800,37.89,#NAME?,,,,低 6,4,2004,混合结构,0.048,0,0,0,0,2,43567,,0.017824687,0.043513878,0.680918448,0.189943226,2011
220603,BJFT61627746,116.238792,39.852889,1.11103E+12,2011/11/16,,0,25.8,6800,37.89,#NAME?,,,,低 6,4,2004,混合结构,0.048,0,0,0,0,2,43567,,0.017824687,0.043513878,0.680918448,0.189943226,2011
92235,BJ0000615040,116.117724,39.941152,1.11105E+12,2010/2/21,1,0,198,15729,125.89,#NAME?,,,,中 14,3,2006,钢混结构,0.5,1,0,0,0,12,39492,,0.068440124,0.100659844,1.572801652,0.166287399,2010
92251,BJ0000615084,116.121964,39.939762,1.11103E+12,2010/3/7,1,0,136,14601,93.15,#NAME?,,,,中 15,4,2003,钢混结构,0.333,1,0,0,0,12,37588,,0.049608881,0.093440598,1.460010735,0.155234468,2010
92267,BJ0000615132,116.118409,39.937888,1.11104E+12,2010/3/22,1,0,127,14613,86.91,#NAME?,,,,中 16,4,2006,钢混结构,0.333,1,0,0,0,12,38753,,0.046019786,0.093517399,1.461281786,0.161997423,2010
92297,BJ0000615208,116.117724,39.941152,1.11105E+12,2010/4/10,1,0,100,17242,58,#NAME?,,,,高 14,3,2006,钢混结构,0.125,1,0,0,0,12,39492,,0.029391464,0.110343106,1.724137931,0.166287399,2010
92300,BJ0000615222,116.118409,39.937888,1.11104E+12,2010/4/13,1,0,146.5,15985,91.65,#NAME?,,,,中 16,4,2006,钢混结构,0.5,1,0,0,0,12,38753,,0.048746118,0.102298255,1.59847245,0.161997423,2010
92349,BJ0000615438,116.117724,39.941152,1.11105E+12,2010/9/29,1,0,109.5,17484,62.63,#NAME?,,,,中 14,3,2006,钢混结构,0.125,1,0,0,0,12,39492,,0.032054527,0.111891916,1.748363404,0.166287399,2010
92398,BJ0000615595,116.118409,39.937888,1.11104E+12,2010/12/26,1,0,176,20540,85.69,#NAME?,,,,低 16,4,2006,钢混结构,0.5,1,0,0,0,12,38753,,0.045318072,0.131450441,2.053915276,0.161997423,2010
92414,BJ0000615635,116.117724,39.941152,1.11105E+12,2011/1/15,1,0,185,20627,89.69,#NAME?,,,,中 16,3,2005,钢混结构,0.5,1,0,0,0,12,39492,,0.047618774,0.132007245,2.062660274,0.166287399,2011
92467,BJ0000615823,116.111318,39.949921,1.11103E+12,2011/11/1,1,0,165,18521,89.09,#NAME?,,,,高 12,4,2011,钢混结构,0.25,1,0,0,0,12,36923,,0.047273668,0.118528759,1.852059715,0.15137407,2011
92814,BJ0000617419,116.122354,39.937384,1.11103E+12,2014/10/6,1,0,156,19004,82.09,#NAME?,,,,顶 6,4,2000,钢混结构,0.5,0,0,0,0,12,36358,,0.04324744,0.121619978,1.900353271,0.148094182,2014
92845,BJ0000617545,116.117724,39.941152,1.11105E+12,2014/11/29,1,0,143,24062,59.43,#NAME?,,,,高 14,3,2006,钢混结构,0.125,1,0,0,0,12,39492,,0.030213965,0.153991386,2.406192159,0.166287399,2014
92899,BJ0000617766,116.121964,39.939762,1.11103E+12,2015/3/15,1,0,235.8,22479,104.9,#NAME?,,,,低 15,4,2003,钢混结构,0.5,1,0,0,0,12,37588,,0.056367192,0.143860121,2.2478551,0.155234468,2015
141376,BJCY85946155,116.433425,40.01024,1.11103E+12,2013/5/29,1,0,26,8374,31.05,#NAME?,,,,底 28,1,未知,钢混结构,0.429,1,1,1,0,7,74411,,0.013890487,0.053587543,0.837359098,0.368996064,2013
224349,BJFT85355966,116.401854,39.861344,1.11103E+12,2013/1/8,1,0,12.6,3609,34.92,#NAME?,,,,底 11,4,2005,钢混结构,0.5,1,0,0,0,2,46572,,0.016116416,0.023091348,0.360824742,0.207387584,2013
243731,BJHD84636270,116.3328,39.938358,1.11103E+12,2012/6/27,,0,650,43590,149.12,#NAME?,,,,中 24,1,未知,钢混结构,0.375,1,1,1,0,8,98686,,0.081801449,0.278971385,4.358905579,0.509915129,2012
244054,BJHD84693304,116.327941,39.934006,1.11103E+12,2012/7/8,,0,39,32500,12,#NAME?,,,,底 20,3,2003,钢混结构,0.333,1,1,1,0,8,103097,,0.002933395,0.207994931,3.25,0.535521473,2012
245394,BJHD85046371,116.327941,39.934006,1.11103E+12,2012/10/17,1,0,40,33334,12,#NAME?,,,,中 22,3,2003,钢混结构,0.667,1,1,1,0,8,103097,,0.002933395,0.213332565,3.333333333,0.535521473,2012
